,Monto,TIN,Pagos,Cancelacion,fees_terceros,fees_rappels,fees_apertura,non_fin_fees,op_exp,EL,RWA,ITR,Cluster,Mes
0,246367,0.06707231708734061,67,6,418.8794522572149,209.6821185296119,546.1468767196013,0.016006094246176352,0.0011356772703810093,0.002965290282234851,8500.0,0.005,auto_nuevo,1
1,242813,0.06501152157109534,35,9,498.43606573414604,459.32336611550386,883.3868612817947,0.00026662665896941273,0.0022955054574957507,0.004151636710881279,8500.0,0.005,auto_nuevo,1
2,248080,0.07086383133700601,62,4,395.4370500052291,413.2505997660174,798.3102357442117,0.003273688582510587,0.0008951038390777267,0.0038952363405939877,8500.0,0.005,auto_nuevo,1
3,246213,0.07895897727145627,64,7,440.59238405794395,324.87529476324613,891.4679679299182,0.002133931131940267,0.0010830709708852834,0.002505644560803634,8500.0,0.005,auto_nuevo,1
4,255869,0.08476763814877122,69,7,550.0376693567176,197.70385442446545,1514.8194200215542,0.004410279844675178,0.001821939609458274,0.003465628005603438,8500.0,0.005,auto_nuevo,1
5,252603,0.09117648686015979,59,6,485.5809829710113,314.95630126475265,520.4772212979555,0.019573044801395482,0.0006006900863644688,0.0033235621478649446,8500.0,0.005,auto_nuevo,1
6,257980,0.0930237236123817,60,10,211.5591643549593,281.44419898433085,1636.6467956222623,0.002133544253640365,0.0009460591384530179,0.004852173250102821,8500.0,0.005,auto_nuevo,1
7,255949,0.08451306344584922,45,6,379.6519816228832,211.85408157419147,438.2967199681989,0.0027342700550151565,0.0023615567417797647,0.0019358446695809906,8500.0,0.005,auto_nuevo,1
8,249962,0.07724482243039098,38,4,325.246954811288,370.455460528226,692.4428164683493,0.0013657316472523197,0.003923989181383569,0.00279679267920573,8500.0,0.005,auto_nuevo,1
9,248041,0.08551963525984092,33,3,381.0279334810815,216.2240948525029,827.7151155480526,0.005995421629279553,0.0016249615292840969,0.004193514241974741,8500.0,0.005,auto_nuevo,1
10,250380,0.07604334841646915,21,9,321.2736422437391,371.66584147622916,525.0655929536249,0.005320642288266818,0.0003245596100833665,0.0033845111103921726,8500.0,0.005,auto_nuevo,1
11,257866,0.08146131343351283,52,6,376.42143297598454,260.8512335001004,1806.9497714750246,0.009435353077354087,0.0001664128865863303,0.004311469249933253,8500.0,0.005,auto_nuevo,1
12,259606,0.08053210060210741,4,12,461.74034572873006,172.637379926589,1287.3988265683456,0.012154161858879502,0.0018859850389257838,0.0012433678247014467,8500.0,0.005231127935234905,auto_nuevo,1
